"","fL","usekernel","adjust","Accuracy","Kappa","AccuracySD","KappaSD"
"108",0.45,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"109",0.5,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"110",0.5,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"111",0.5,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"112",0.5,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"113",0.5,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"114",0.5,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"115",0.5,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"116",0.5,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"117",0.5,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"118",0.5,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"119",0.5,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"120",0.5,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"121",0.55,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"122",0.55,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"123",0.55,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"124",0.55,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"125",0.55,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"126",0.55,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"127",0.55,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"128",0.55,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"129",0.55,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"130",0.55,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"131",0.55,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"132",0.55,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"133",0.6,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"134",0.6,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"135",0.6,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"136",0.6,FALSE,"2",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"137",0.6,FALSE,"2.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"138",0.6,FALSE,"3",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"139",0.6,TRUE,"0.5",0.91632143200964,0.913049370854614,0.0241173247426121,0.0250607517076877
"140",0.6,TRUE,"1",0.925091164588833,0.922162381061656,0.0271452668767086,0.0282051796226675
"141",0.6,TRUE,"1.5",0.929037395357182,0.926261349177579,0.0269396349322804,0.0279936314061318
"142",0.6,TRUE,"2",0.927223502240158,0.924378556354026,0.0227167559724886,0.0236049720598638
"143",0.6,TRUE,"2.5",0.91790956499151,0.914702743551239,0.0233247902878042,0.0242328678645191
"144",0.6,TRUE,"3",0.893819172138959,0.889677903143773,0.0245241050004067,0.0254689500506431
"145",0.65,FALSE,"0.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"146",0.65,FALSE,"1",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
"147",0.65,FALSE,"1.5",0.932872391618561,0.930243899661072,0.0255652216908709,0.026570224572316
