"","adrenocortical","cabeza cuello","cerebro","cervical","colangiocarcinoma","colon","esófago","estómago","hígado","leucemia","linfoma células B","mama","mesotelioma","ovario","páncreas","paraganglioma","piel","próstata","pulmón","riñón","sarcoma","testículos","timoma","tiroides","útero","úvea","vejiga","MeanDecreaseAccuracy","MeanDecreaseGini"
"ENSG00000164287",0.000261904761904762,0.000944444444444444,-5.95238095238095e-05,0.000167207792207792,0,8.92857142857143e-05,0.000257936507936508,0.000107683982683983,0,7.14285714285714e-05,0,7.14285714285714e-05,-4.76190476190476e-05,0.00022977022977023,-6.49350649350649e-05,0.000158730158730159,3.3704390847248e-05,7.14285714285714e-05,0.000211930926216641,-6.49350649350649e-05,0.000332810047095761,0.00010989010989011,0,-1.39146567717996e-05,-0.000423992673992674,0.00010989010989011,8.92857142857143e-05,8.50332914447494e-05,0.188192568328767
"ENSG00000115414",0.00109711419532848,0.000340110286538858,0.00044671201814059,0.000480293516007802,0.000198412698412698,0.000123106060606061,-0.000126417233560091,0.000223650066087041,0.00162730919873777,0.00377344877344877,0.000704545454545455,0.00135717258931545,0.000433415790558648,0.000141439909297052,0.00180612244897959,0.000252860235003092,0.00034611420325706,0.000949675324675325,-0.00011119832548404,0.000124007936507937,0.00118723538366395,0.000366674991674992,0.000459441352298495,0.000262536075036075,0.000863997113997114,0.00178304433661577,0.000524778093055404,0.000739000230176181,0.723417013387336
"ENSG00000140937",-3.72008943437515e-05,-7.93650793650794e-05,0.00095892599464028,0.000554730983302412,9.21201814058957e-05,-4.92216117216117e-05,-0.000190360235003092,0.000405903620189335,0.000781135531135531,0.00191008198151055,0.000288221698935985,0.000739665096807954,0.00367342776271348,1.19047619047619e-05,0.000322475143903715,0,0.000595326708772087,0.000492424242424242,-3.2312925170068e-05,-6.4935064935065e-06,0.0011116908884766,0.000324077708006279,0.000327349121466769,3.47222222222222e-05,-8.47763347763348e-05,0.00195800132407275,0.000168109668109668,0.000550505328535223,0.5450693400109
"ENSG00000255398",0.000934343434343434,0.000362554112554113,0.000142857142857143,-0.000192460317460317,0.000262445887445887,0.000118215118215118,0.000222312001723766,0.000262737262737263,0,0.000138888888888889,0,0.000268707482993197,0.000142857142857143,0.000202922077922078,-0.000191326530612245,6.49350649350649e-05,0.000142857142857143,0.000428571428571429,-7.94344544344544e-05,0.000119047619047619,-0.00018140589569161,-5.10204081632653e-05,-7.6530612244898e-05,0.000476634476634477,0.000184815184815185,8.47763347763348e-05,0.000674258281401139,0.000160496522539128,0.272830516657272
"ENSG00000133134",0.00217362994148708,0.00139869356833643,0.000894918573490002,0.000516945356231071,0.00058879612451041,0.000750919715205429,0.000245861281575567,0.00125839834768406,0.000131784881784882,0.000285714285714286,-0.000292310863739435,0.000438311688311688,0.00047108843537415,0.000419771696557411,0.000629679843965558,0.00197729091636655,0.000688844885273457,0.000823773448773449,0.000693318586175729,0.0002394252572824,0.00184844124129838,0.000660580490937634,-0.000229808590102708,0.00723338367981225,-9.52380952380952e-05,0.000284715284715285,-0.000104439211582069,0.000898588583425908,0.669558920729181
"ENSG00000131409",0.000788788592360021,0.000327672327672328,0.0093961494854352,-9.21201814058957e-05,0.00104623551052122,0.00142428638121915,-4.77498691784406e-06,0.000373669980812838,0.0016151566687281,0.000582504796790511,0.000912561644704502,0.00195855533355533,5.96328274899704e-05,0.000649180184894471,0.00109279014636158,0.00291038443349368,0.000227891156462585,0.000371173469387755,0.000324778396206968,0.000542336631622346,2.47113997113997e-05,0.00273276227740513,0.00127690959833817,0.000393122750265607,-0.000198721913007627,0.000439033189033189,0.000345957613814757,0.00108382815474097,0.791649967977311
"ENSG00000131037",0.00143537018537019,0.000298639852211281,0.00269957027099884,0.000736350950636665,0.00011595547309833,5e-04,5.0453514739229e-05,2.2773853130996e-05,0.00142579642579643,0.00104964678178964,-2.94705294705295e-05,0.000402890760033617,9.62846677132391e-05,0.000939227439227439,0.000575702075702076,0.0021776595253486,0.00126423179994609,0.000610282574568289,0.000125,0.00011988011988012,0.00139761429047143,0.00076758658008658,0.00482209457209457,0.00106468531468531,0.000267316017316017,0.000820887445887446,0.000629404325832897,0.000897249580386191,0.565157925578841
"ENSG00000187867",0.00398582568225425,0.000568362193362193,0.000102040816326531,0.00073747680890538,0.00190866078366078,9.32024324881468e-05,7.96564546564547e-05,-1.52625152625152e-05,0.00173882962275819,3.37559266130695e-05,0.0018030303030303,0.000549680478251907,-1.01783137497423e-05,0.000800631907774765,0.000953978561121418,0.000153061224489796,0.000350664508227533,0.000198412698412698,2.14259946402804e-05,0.000977673120530263,7.22174650746079e-05,0.00218481518481519,0.00183250876108019,0.000718614718614719,0.0006501554001554,0.000539270253555968,0.00127821384964242,0.000787741887838432,0.656339239001242
"ENSG00000257743",0.000798760763046477,0.00117711653425939,0.00030952380952381,0.00161785238570953,4.45269016697588e-05,0.00716202308429199,0.00209489815739816,0.00502252013859157,0.000630952380952381,4.3040293040293e-05,8.92857142857143e-05,0.000735294467437325,0.000556929181929182,0.000287559662559663,0.00657696866625438,0.000368797868797869,9.46275946275946e-05,0.000385487528344671,0.00227471536400108,-6.15079365079365e-05,0.000312358276643991,0.000663378288378288,0.00100613275613276,0.00143678940107512,0.00169397864040721,5.10204081632653e-05,0.0011937308723023,0.00134776370922859,0.781165003657305
"ENSG00000157087",-0.000418708275851133,0.000377955377955378,0.00228614009706447,0.000501301278086992,0.00277612863327149,0.00127039825254111,0.000785224695938982,0.00141292834149977,0.0151302487195344,8.92857142857143e-05,0.000436278998778999,0.000625662036376322,0.000792978846550275,0.00301202357399836,0.00145189929118501,0.00011988011988012,0.000504601840736295,0.00113967381824525,0.00274946283874855,0.000456426509997938,0.000225219225219225,0.00108939175903462,0.000817751692751693,0.0012468820861678,-0.000385255617398474,0.000637196137196137,0.0011655229690944,0.00145199444016742,1.04111304318588
